article_id,probability
1,0.9352285903894301
2,0.4547993988953618
3,0.060955524765770264
4,0.8431955815063238
5,0.1895311851894017
6,0.3287482255011006
7,0.9438911217442448
8,0.9086767037730885
9,0.7018059900220464
10,0.4314491050365916
11,0.5632989328636018
12,0.6513739029108566
13,0.3475652865237441
14,0.11872425373752782
15,0.5525196979995066
16,0.9419632656682732
17,0.09559936335143893
18,0.7162044600253376
19,0.45892617942249225
20,0.9640629885712095
21,0.25238408674699464
22,0.17492307950059716
23,0.7980017729502541
24,0.3307797257777939
25,0.10684488311554385
26,0.8240911737795403
27,0.35977051559784423
28,0.1744347818748203
29,0.5828299366992269
30,0.09948349839088788
31,0.3108646255063653
32,0.009961112453975463
33,0.21984495510517998
34,0.47730715509570987
35,0.8191980656290795
36,0.3886810747303818
37,0.3337983455304495
38,0.4931124791118646
39,0.6353568215277674
40,0.8275796089609773
41,0.649803402963311
42,0.08592175838256444
43,0.17353143334111143
44,0.2389792252221813
45,0.23031262392868157
46,0.17444857812720516
47,0.829129057712013
48,0.7732609313759247
49,0.14219389945363115
50,0.21118609419094214
51,0.7044663030995169
52,0.06212864935993845
53,0.6979086499871616
54,0.10742526139387487
55,0.3563721418314474
56,0.6432721955960637
57,0.14871197735184827
58,0.8805015730774703
59,0.37122552409918086
60,0.38442486187138647
61,0.9874902671199635
62,0.8344010892404142
63,0.2493265109047107
64,0.35290833941681254
65,0.16635032296454622
66,0.7146305984599488
67,0.09196679219839543
68,0.4813906306033544
69,0.2369757219209726
70,0.17978413881323252
71,0.2498459738437624
72,0.07828132068260396
73,0.21462995082340808
74,0.02197181462561859
75,0.8610380756141387
76,0.2400313626403724
77,0.6665645886511243
78,0.21545922629856407
79,0.7473031297333477
80,0.3873755347594853
81,0.8079263041542409
82,0.046466037834560825
83,0.8031467984812427
84,0.0007930363844484978
85,0.8575174395224977
86,0.17146548101936643
87,0.20252385012758212
88,0.2776894904647761
89,0.828850506095934
90,0.49817308727567444
91,0.3811843890225921
92,0.7647160431279897
93,0.32533883684336884
94,0.4272010658999844
95,0.11164395436010965
96,0.46990277875890796
97,0.020436801150237383
98,0.39131769470047384
99,0.4253503158194779
100,0.7998765189662497
101,0.8471249464665638
102,0.5348985130654718
103,0.961905818320643
104,0.9370782264985278
105,0.16401044585067936
106,0.48788779706877805
107,0.9470264367110666
108,0.4707373555623636
109,0.36912379594317823
110,0.8490932252116593
111,0.24544913407345859
112,0.8010198125434334
113,0.953764603347564
114,0.019637445700450562
115,0.0003037378370545074
116,0.34627145228914247
117,0.9849153001304104
118,0.34915658182206255
119,0.8253676605614779
120,0.8794806621750486
121,0.400390075138334
122,0.33355142261246773
123,0.08405774260258392
124,0.46752674362908797
125,0.03737433496091236
126,0.3299240569228823
127,0.1699230754529878
128,0.06335251404903708
